@RUN,EXCODE,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,GL%MS,GL%MM,CHTAS,CHTAM,R8APS,R8APM,EDAPS,EDAPM,region,idRun,score,simulacao
3,EMEP1403BN,3,1,BN,48,49,55,55,64,68,86,90,86,2803,114,3069,53,1501,0.16,0.19,4.64,4.52,151,4319,70,-99,0.01,6.34,0.566,0.65,75.38,74.4,3,-99,4,-99,0,-99,3.76,-99,89,1224,3,-99,14.15,-99,2.85,-99,1.15,-99,95,-99,4,-99,-99,iteration_231054.334,94.2071147299022,MAPE_300_400
4,EMEP1403BN,4,1,BN,48,50,55,54,63,64,84,82,68,4004,93,3178,47,1062,0.1442,0.23,4.64,5.31,134,5302,70,-99,0.01,4.92,0.504,-99,72.79,78.2,3,-99,4,-99,1,-99,3.85,-99,85,2161,3,-99,14.25,-99,2.78,-99,1.19,-99,93,-99,4,-99,-99,iteration_231054.334,94.2071147299022,MAPE_300_400
5,EMEP1403BN,5,1,BN,44,51,50,54,59,68,81,90,72,3993,92,5140,40,1964,0.1796,0.19,4.64,4.96,123,5002,50,-99,0.01,5.67,0.586,-99,77.86,77.6,3,-99,3,-99,0,-99,3.61,-99,65,2306,3,-99,14.26,-99,3.07,-99,1.23,-99,90,-99,4,-99,-99,iteration_231054.334,94.2071147299022,MAPE_300_400
6,EMEP1403BN,6,1,BN,45,55,51,67,60,74,82,91,72,4340,98,5358,49,3157,0.1463,0.19,4.64,4.95,135,4261,60,-99,0.01,5,0.535,-99,73.88,74.9,3,-99,4,-99,0,-99,3.77,-99,81,1849,3,-99,14.31,-99,2.83,-99,1.23,-99,91,-99,4,-99,-99,iteration_231054.334,94.2071147299022,MAPE_300_400
7,EMEP1403BN,8,1,BN,43,41,49,51,58,57,84,84,110,2630,141,-99,54,1215,0.203,0.21,4.64,4.94,178,3092,70,-99,0.02,6.14,0.617,-99,78.23,72.3,4,-99,5,-99,0,-99,3.56,-99,95,2069,4,-99,14,-99,2.7,-99,1.28,-99,93,-99,4,-99,-99,iteration_231054.334,94.2071147299022,MAPE_300_400
8,EMEP1403BN,9,1,BN,45,47,51,56,62,65,88,86,109,2080,142,3807,57,1151,0.1894,0.17,4.64,4.63,187,3027,80,-99,0.02,4.59,0.582,0.69,76.65,71.8,4,-99,5,-99,1,-99,3.63,-99,103,2002,4,-99,13.78,-99,2.8,-99,1.13,-99,97,-99,4,-99,-99,iteration_231054.334,94.2071147299022,MAPE_300_400
1,EMEP1403BN,1,1,BN,45,35,54,42,60,56,87,72,67,1605,85,2313,35,1090,0.1929,0.15,4.64,5.49,122,3202,50,-99,0.01,4.18,0.55,0.5,78.71,70.4,2,-99,3,-99,0,-99,3.59,-99,73,1409,3,-99,14.33,-99,2.8,-99,1.22,-99,96,-99,4,-99,-99,iteration_231054.656,86.2809548916606,MAPE_300_500
2,EMEP1403BN,2,1,BN,46,42,56,48,63,62,88,82,75,1997,96,2923,41,1258,0.1848,0.17,4.64,5.52,136,3204,60,-99,0.01,6.26,0.55,0.62,78.19,72.7,3,-99,4,-99,0,-99,3.65,-99,76,1349,3,-99,14.03,-99,2.92,-99,1.14,-99,97,-99,4,-99,-99,iteration_231054.656,86.2809548916606,MAPE_300_500
3,EMEP1403BN,3,1,BN,48,49,57,55,64,68,87,90,86,2803,111,3069,49,1501,0.1769,0.19,4.64,4.52,152,4319,70,-99,0.02,6.34,0.564,0.65,77.68,74.4,3,-99,4,-99,0,-99,3.75,-99,89,1224,3,-99,14.15,-99,2.88,-99,1.15,-99,96,-99,4,-99,-99,iteration_231054.656,86.2809548916606,MAPE_300_500
4,EMEP1403BN,4,1,BN,49,50,57,54,63,64,86,82,66,4004,87,3178,40,1062,0.1652,0.23,4.64,5.31,134,5302,70,-99,0.01,4.92,0.491,-99,75.48,78.2,3,-99,4,-99,1,-99,3.84,-99,87,2161,3,-99,14.25,-99,2.81,-99,1.19,-99,95,-99,4,-99,-99,iteration_231054.656,86.2809548916606,MAPE_300_500
5,EMEP1403BN,5,1,BN,44,51,53,54,59,68,82,90,68,3993,86,5140,36,1964,0.1871,0.19,4.64,4.96,122,5002,50,-99,0.01,5.67,0.553,-99,78.88,77.6,2,-99,3,-99,0,-99,3.64,-99,65,2306,3,-99,14.26,-99,3.02,-99,1.23,-99,91,-99,4,-99,-99,iteration_231054.656,86.2809548916606,MAPE_300_500
6,EMEP1403BN,6,1,BN,45,55,54,67,60,74,83,91,69,4340,89,5358,37,3157,0.1854,0.19,4.64,4.95,134,4261,60,-99,0.01,5,0.515,-99,77.26,74.9,3,-99,4,-99,1,-99,3.77,-99,80,1849,3,-99,14.31,-99,2.83,-99,1.23,-99,92,-99,4,-99,-99,iteration_231054.656,86.2809548916606,MAPE_300_500
7,EMEP1403BN,8,1,BN,43,41,51,51,58,57,86,84,100,2630,127,-99,49,1215,0.2029,0.21,4.64,4.94,176,3092,80,-99,0.02,6.14,0.568,-99,78.85,72.3,4,-99,5,-99,1,-99,3.57,-99,95,2069,4,-99,14,-99,2.69,-99,1.28,-99,95,-99,4,-99,-99,iteration_231054.656,86.2809548916606,MAPE_300_500
